"","V1","V2"
"848",228,286
"849",228,287
"850",228,289
"851",228,290
"852",228,294
"853",228,295
"854",228,296
"855",228,297
"856",228,299
"857",228,303
"858",228,304
"859",228,305
"860",228,307
"861",228,312
"862",228,313
"863",228,314
"864",228,316
"865",228,317
"866",230,258
"867",230,260
"868",230,278
"869",230,301
"870",230,304
"871",231,251
"872",232,249
"873",232,273
"874",234,287
"875",235,282
"876",235,300
"877",236,259
"878",236,275
"879",236,278
"880",237,248
"881",237,251
"882",237,264
"883",237,302
"884",238,258
"885",240,256
"886",242,264
"887",242,267
"888",242,278
"889",242,317
"890",243,244
"891",244,257
"892",244,276
"893",245,252
"894",245,267
"895",246,317
"896",249,272
"897",249,285
"898",249,311
"899",250,264
"900",250,270
"901",250,294
"902",251,307
"903",252,265
"904",252,274
"905",253,286
"906",253,298
"907",254,276
"908",254,300
"909",255,270
"910",255,281
"911",255,295
"912",256,287
"913",256,291
"914",256,296
"915",256,312
"916",257,262
"917",257,263
"918",257,265
"919",257,299
"920",259,272
"921",259,283
"922",259,292
"923",260,264
"924",260,285
"925",260,293
"926",261,266
"927",261,284
"928",261,289
"929",261,293
"930",261,297
"931",261,306
"932",261,308
"933",262,266
"934",262,284
"935",262,297
"936",262,303
"937",262,309
"938",263,266
"939",263,272
"940",263,278
"941",263,284
"942",263,288
"943",263,297
"944",263,303
"945",263,313
"946",264,266
"947",264,284
"948",264,297
"949",264,303
"950",264,313
"951",265,296
"952",265,301
"953",266,272
"954",266,282
"955",266,283
"956",266,284
"957",266,285
"958",266,286
"959",266,287
"960",266,294
"961",266,295
"962",266,296
"963",266,297
"964",266,299
"965",266,303
"966",266,304
"967",266,305
"968",266,307
"969",266,312
"970",266,313
"971",266,314
"972",266,316
"973",266,317
"974",267,268
"975",267,283
"976",267,310
"977",267,317
"978",268,317
"979",269,306
"980",271,307
"981",272,289
"982",272,292
"983",272,304
"984",273,280
"985",273,292
"986",274,291
"987",275,300
"988",275,304
"989",275,308
"990",275,317
"991",276,295
"992",278,306
"993",279,285
"994",279,290
"995",279,293
"996",279,312
"997",281,291
"998",282,284
"999",282,288
"1000",282,297
"1001",282,303
"1002",282,313
"1003",283,284
"1004",283,296
"1005",283,297
"1006",283,303
"1007",283,310
"1008",284,285
"1009",284,286
"1010",284,287
"1011",284,289
"1012",284,294
"1013",284,295
"1014",284,296
"1015",284,297
"1016",284,299
"1017",284,303
"1018",284,304
"1019",284,305
"1020",284,307
"1021",284,312
"1022",284,313
"1023",284,314
"1024",284,316
"1025",284,317
"1026",285,297
"1027",285,303
"1028",285,311
"1029",285,313
"1030",286,297
"1031",286,298
"1032",286,303
"1033",286,313
"1034",287,297
"1035",287,303
"1036",287,305
"1037",287,312
"1038",289,290
"1039",289,303
"1040",289,313
"1041",289,315
"1042",290,315
"1043",293,305
"1044",293,315
"1045",294,295
"1046",294,297
"1047",294,303
"1048",294,313
"1049",296,297
"1050",296,299
"1051",297,299
"1052",297,303
"1053",297,304
"1054",297,305
"1055",297,307
"1056",297,312
"1057",297,313
"1058",297,314
"1059",297,316
"1060",297,317
"1061",298,302
"1062",298,306
"1063",298,310
"1064",299,301
"1065",299,303
"1066",299,313
"1067",300,308
"1068",300,311
"1069",300,316
"1070",301,304
"1071",302,307
"1072",302,310
"1073",303,304
"1074",303,305
"1075",303,307
"1076",303,312
"1077",303,313
"1078",303,314
"1079",303,316
"1080",303,317
"1081",304,313
"1082",305,312
"1083",305,313
