"","type","measure","comp.size","comp.pct","removed.pct","management"
"80","Targeted vertex attack","degree",230,0.727848101265823,0.249211356466877,"organic"
"81","Targeted vertex attack","degree",227,0.718354430379747,0.252365930599369,"organic"
"82","Targeted vertex attack","degree",224,0.708860759493671,0.255520504731861,"organic"
"83","Targeted vertex attack","degree",223,0.705696202531646,0.258675078864353,"organic"
"84","Targeted vertex attack","degree",222,0.70253164556962,0.261829652996845,"organic"
"85","Targeted vertex attack","degree",220,0.69620253164557,0.264984227129338,"organic"
"86","Targeted vertex attack","degree",216,0.683544303797468,0.26813880126183,"organic"
"87","Targeted vertex attack","degree",215,0.680379746835443,0.271293375394322,"organic"
"88","Targeted vertex attack","degree",214,0.677215189873418,0.274447949526814,"organic"
"89","Targeted vertex attack","degree",213,0.674050632911392,0.277602523659306,"organic"
"90","Targeted vertex attack","degree",211,0.667721518987342,0.280757097791798,"organic"
"91","Targeted vertex attack","degree",210,0.664556962025316,0.28391167192429,"organic"
"92","Targeted vertex attack","degree",209,0.661392405063291,0.287066246056782,"organic"
"93","Targeted vertex attack","degree",208,0.658227848101266,0.290220820189274,"organic"
"94","Targeted vertex attack","degree",207,0.655063291139241,0.293375394321767,"organic"
"95","Targeted vertex attack","degree",206,0.651898734177215,0.296529968454259,"organic"
"96","Targeted vertex attack","degree",203,0.642405063291139,0.299684542586751,"organic"
"97","Targeted vertex attack","degree",197,0.623417721518987,0.302839116719243,"organic"
"98","Targeted vertex attack","degree",195,0.617088607594937,0.305993690851735,"organic"
"99","Targeted vertex attack","degree",194,0.613924050632911,0.309148264984227,"organic"
"100","Targeted vertex attack","degree",193,0.610759493670886,0.312302839116719,"organic"
"101","Targeted vertex attack","degree",193,0.610759493670886,0.315457413249211,"organic"
"102","Targeted vertex attack","degree",193,0.610759493670886,0.318611987381703,"organic"
"103","Targeted vertex attack","degree",192,0.607594936708861,0.321766561514196,"organic"
"104","Targeted vertex attack","degree",192,0.607594936708861,0.324921135646688,"organic"
"105","Targeted vertex attack","degree",189,0.598101265822785,0.32807570977918,"organic"
"106","Targeted vertex attack","degree",187,0.591772151898734,0.331230283911672,"organic"
"107","Targeted vertex attack","degree",186,0.588607594936709,0.334384858044164,"organic"
"108","Targeted vertex attack","degree",184,0.582278481012658,0.337539432176656,"organic"
"109","Targeted vertex attack","degree",183,0.579113924050633,0.340694006309148,"organic"
"110","Targeted vertex attack","degree",182,0.575949367088608,0.34384858044164,"organic"
"111","Targeted vertex attack","degree",180,0.569620253164557,0.347003154574132,"organic"
"112","Targeted vertex attack","degree",179,0.566455696202532,0.350157728706625,"organic"
"113","Targeted vertex attack","degree",177,0.560126582278481,0.353312302839117,"organic"
"114","Targeted vertex attack","degree",171,0.541139240506329,0.356466876971609,"organic"
"115","Targeted vertex attack","degree",169,0.534810126582278,0.359621451104101,"organic"
"116","Targeted vertex attack","degree",166,0.525316455696203,0.362776025236593,"organic"
"117","Targeted vertex attack","degree",165,0.522151898734177,0.365930599369085,"organic"
