"","V1","V2"
"863",255,259
"864",255,268
"865",255,273
"866",255,274
"867",255,276
"868",255,278
"869",255,280
"870",255,283
"871",255,291
"872",255,292
"873",255,293
"874",255,295
"875",255,298
"876",255,299
"877",255,300
"878",255,301
"879",255,302
"880",255,304
"881",255,305
"882",255,307
"883",255,308
"884",255,312
"885",255,315
"886",256,279
"887",256,287
"888",256,288
"889",256,297
"890",257,271
"891",257,278
"892",257,282
"893",258,291
"894",259,268
"895",259,273
"896",259,274
"897",259,276
"898",259,278
"899",259,280
"900",259,283
"901",259,291
"902",259,292
"903",259,293
"904",259,295
"905",259,298
"906",259,299
"907",259,300
"908",259,301
"909",259,302
"910",259,304
"911",259,305
"912",259,307
"913",259,308
"914",259,312
"915",259,315
"916",260,289
"917",260,305
"918",261,271
"919",261,275
"920",262,305
"921",263,288
"922",263,306
"923",264,265
"924",264,286
"925",264,300
"926",265,279
"927",265,281
"928",265,294
"929",265,296
"930",265,301
"931",266,305
"932",267,278
"933",267,290
"934",268,273
"935",268,274
"936",268,276
"937",268,278
"938",268,280
"939",268,283
"940",268,291
"941",268,292
"942",268,293
"943",268,295
"944",268,298
"945",268,299
"946",268,300
"947",268,301
"948",268,302
"949",268,304
"950",268,305
"951",268,307
"952",268,308
"953",268,312
"954",268,315
"955",269,270
"956",270,271
"957",270,276
"958",271,296
"959",271,308
"960",273,274
"961",273,278
"962",273,280
"963",273,283
"964",273,291
"965",273,292
"966",273,293
"967",273,295
"968",273,298
"969",273,299
"970",273,300
"971",273,301
"972",273,302
"973",273,304
"974",273,305
"975",273,307
"976",273,308
"977",273,312
"978",273,315
"979",274,278
"980",274,280
"981",274,283
"982",274,291
"983",274,292
"984",274,293
"985",274,295
"986",274,298
"987",274,299
"988",274,300
"989",274,301
"990",274,302
"991",274,304
"992",274,305
"993",274,307
"994",274,312
"995",274,315
"996",275,284
"997",275,308
"998",277,284
"999",277,311
"1000",278,290
"1001",278,292
"1002",278,293
"1003",278,295
"1004",278,298
"1005",278,304
"1006",278,307
"1007",278,315
"1008",279,287
"1009",279,288
"1010",279,297
"1011",280,281
"1012",280,292
"1013",280,293
"1014",280,295
"1015",280,297
"1016",280,298
"1017",280,304
"1018",280,311
"1019",280,315
"1020",282,317
"1021",283,292
"1022",283,296
"1023",283,298
"1024",283,299
"1025",283,308
"1026",285,313
"1027",287,288
"1028",287,297
"1029",288,289
"1030",288,297
"1031",289,314
"1032",291,292
"1033",291,293
"1034",291,295
"1035",291,298
"1036",291,303
"1037",291,304
"1038",291,307
"1039",291,315
"1040",292,293
"1041",292,295
"1042",292,298
"1043",292,299
"1044",292,300
"1045",292,301
"1046",292,302
"1047",292,304
"1048",292,305
"1049",292,307
"1050",292,312
"1051",292,315
"1052",293,295
"1053",293,298
"1054",293,299
"1055",293,301
"1056",293,302
"1057",293,304
"1058",293,305
"1059",293,307
"1060",293,312
"1061",293,315
"1062",294,301
"1063",294,303
"1064",294,309
"1065",295,298
"1066",295,299
"1067",295,300
"1068",295,301
"1069",295,302
"1070",295,304
"1071",295,305
"1072",295,307
"1073",295,312
"1074",295,315
"1075",296,301
"1076",296,309
"1077",298,299
"1078",298,300
"1079",298,301
"1080",298,302
"1081",298,304
"1082",298,305
"1083",298,307
"1084",298,312
"1085",298,315
"1086",299,304
"1087",299,307
"1088",299,315
"1089",299,316
"1090",300,304
"1091",300,307
"1092",300,315
"1093",302,304
"1094",302,307
"1095",302,314
"1096",302,315
"1097",303,308
"1098",303,309
"1099",304,305
"1100",304,307
"1101",304,312
"1102",304,315
"1103",305,307
"1104",305,315
"1105",307,312
"1106",307,315
"1107",308,310
"1108",312,313
"1109",312,315
"1110",314,317
